videoname,poi,context,value
84,Bernie Sanders,84,
85,Bernie Sanders,85,
86,Alec Guinness,86,
87,Alec Guinness,87,
88,Ronald Reagan,88,
89,Barack Obama,89,
90,Donald Trump,90,
91,Bill Clinton,91,
92,Mitch Hedberg,92,
93,Ayn Rand,93,
94,Barack Obama,94,
95,Bill Clinton,95,
96,Alec Guinness,96,
97,Barack Obama,97,
98,Bernie Sanders,98,
99,Bill Burr,99,
100,Alexandria Ocasio-Cortez,100,
101,Christopher Hitchens,101,
102,Milton Friedman,102,
103,Bernie Sanders,103,
104,Bernie Sanders,104,
105,Christopher Hitchens,105,
106,FDR,106,
107,Alec Guinness,107,
108,Donald Trump,108,
109,Arnold Schwarzenegger,109,
110,Milton Friedman,110,
111,Barack Obama,111,
112,Barack Obama,112,
113,Donald Trump,113,
114,Ayn Rand,114,
115,Bill Clinton,115,
116,FDR,116,
117,Alan Watts,117,
118,Bernie Sanders,118,
119,Barack Obama,119,
120,Barack Obama,120,
121,Ayn Rand,121,
122,FDR,122,
123,Donald Trump,123,
124,Barack Obama,124,
125,Donald Trump,125,
126,Mitch Hedberg,126,
127,George W. Bush,127,
128,Alan Watts,128,
129,Milton Friedman,129,
130,Bernie Sanders,130,
131,Bill Clinton,131,
132,JFK,132,
133,Barack Obama,133,
134,Donald Trump,134,
135,Bernie Sanders,135,
136,Alec Guinness,136,
137,Bill Clinton,137,
138,Donald Trump,138,
139,Bernie Sanders,139,
140,Alec Guinness,140,
141,Mark Zuckerberg,141,
142,Mark Zuckerberg,142,
143,Ayn Rand,143,
144,Queen Elizabeth II,144,
145,Barack Obama,145,
146,The Notorious B.I.G.,146,
147,Alec Guinness,147,
148,Jerry Seinfeld,148,
149,Martin Luther King,149,
150,Queen Elizabeth II,150,
151,Martin Luther King,151,
152,Christopher Hitchens,152,
153,2Pac,153,
154,Winston Churchill,154,
155,Alec Guinness,155,
156,Martin Luther King,156,
157,Bill Clinton,157,
158,Donald Trump,158,
159,Bernie Sanders,159,
160,Martin Luther King,160,
161,Donald Trump,161,
162,Donald Trump,162,
163,Alec Guinness,163,
164,Barack Obama,164,
165,George W. Bush,165,
166,Alec Guinness,166,
167,Ayn Rand,167,
168,Alec Guinness,168,
169,Ayn Rand,169,
170,Tucker Carlson,170,
171,Donald Trump,171,
172,Ayn Rand,172,
173,Christopher Hitchens,173,
174,Alec Guinness,174,
175,Nelson Mandela,175,
176,Barack Obama,176,
177,JFK,177,
178,Ronald Reagan,178,
179,Ayn Rand,179,
180,Donald Trump,180,
181,Christopher Hitchens,181,
182,Ayn Rand,182,
183,Bernie Sanders,183,
184,Barack Obama,184,
185,Winston Churchill,185,
186,Alec Guinness,186,
187,Bernie Sanders,187,
188,Milton Friedman,188,
189,Bernie Sanders,189,
190,Barack Obama,190,
191,Mark Zuckerberg,191,
192,Winston Churchill,192,
193,The Notorious B.I.G.,193,
194,Bernie Sanders,194,
195,Barack Obama,195,
196,Bernie Sanders,196,
197,Barack Obama,197,
198,Bernie Sanders,198,
199,Barack Obama,199,
200,Donald Trump,200,
201,Donald Trump,201,
202,Ayn Rand,202,
203,Barack Obama,203,
204,Donald Trump,204,
205,Donald Trump,205,
206,Ayn Rand,206,
207,Jerry Seinfeld,207,
208,Bernie Sanders,208,
209,Nelson Mandela,209,
210,Alec Guinness,210,
211,Ronald Reagan,211,
212,Ronald Reagan,212,
213,FDR,213,
214,George W. Bush,214,
215,Alec Guinness,215,
216,Mark Zuckerberg,216,
217,Richard Nixon,217,
218,Donald Trump,218,
219,Donald Trump,219,
220,Ronald Reagan,220,
221,Richard Nixon,221,
222,Donald Trump,222,
223,Barack Obama,223,
224,John Cleese,224,
225,Bill Clinton,225,
226,Nelson Mandela,226,
227,Barack Obama,227,
228,Alec Guinness,228,
229,The Notorious B.I.G.,229,
230,Christopher Hitchens,230,
231,Frank Sinatra,231,
232,Alexandria Ocasio-Cortez,232,
233,Louis Farrakhan,233,
234,Winston Churchill,234,
235,Christopher Hitchens,235,
236,Alec Guinness,236,
237,Christopher Hitchens,237,
238,Bill Clinton,238,
239,Louis Farrakhan,239,
240,JFK,240,
241,Ronald Reagan,241,
242,Ayn Rand,242,
243,Donald Trump,243,
244,Barack Obama,244,
245,Ronald Reagan,245,
246,Martin Luther King,246,
247,Norm MacDonald,247,
248,Christopher Hitchens,248,
249,Alec Guinness,249,
250,Donald Trump,250,
251,Barack Obama,251,
252,Queen Elizabeth II,252,
253,Alexandria Ocasio-Cortez,253,
254,Bernie Sanders,254,
255,Alec Guinness,255,
256,Winston Churchill,256,
257,Richard Nixon,257,
258,Barack Obama,258,
259,Bernie Sanders,259,
260,Donald Trump,260,
261,Alec Guinness,261,
262,Arnold Schwarzenegger,262,
263,Ayn Rand,263,
264,Gilbert Gottfried,264,
265,Alec Guinness,265,
266,Bernie Sanders,266,
267,Alec Guinness,267,
268,Donald Trump,268,
269,Ayn Rand,269,
270,Queen Elizabeth II,270,
271,Ronald Reagan,271,
272,Barack Obama,272,
273,Mark Zuckerberg,273,
274,Bill Burr,274,
275,Alec Guinness,275,
276,Barack Obama,276,
277,Ayn Rand,277,
278,Bill Clinton,278,
279,Donald Trump,279,
280,Bernie Sanders,280,
281,Barack Obama,281,
282,Ayn Rand,282,
283,John Cleese,283,
284,Ayn Rand,284,
285,Winston Churchill,285,
286,George Carlin,286,
287,Bill Clinton,287,
288,Barack Obama,288,
289,Ayn Rand,289,
290,Donald Trump,290,
291,Winston Churchill,291,
292,Bernie Sanders,292,
293,Bernie Sanders,293,
294,Bernie Sanders,294,
295,Dwight Eisenhower,295,
296,Alec Guinness,296,
297,Malcolm X,297,
298,Ayn Rand,298,
299,Donald Trump,299,
300,Bill Clinton,300,
301,Barack Obama,301,
302,Alec Guinness,302,
303,Louis Farrakhan,303,
304,Barack Obama,304,
305,Martin Luther King,305,
306,George Carlin,306,
307,Ronald Reagan,307,
308,Ronald Reagan,308,
309,Bernie Sanders,309,
310,JFK,310,
311,Barack Obama,311,
312,Christopher Hitchens,312,
313,Nelson Mandela,313,
314,Christopher Hitchens,314,
315,Barack Obama,315,
316,Bernie Sanders,316,
317,Arnold Schwarzenegger,317,
318,Gilbert Gottfried,318,
319,Ronald Reagan,319,
320,FDR,320,
321,Christopher Hitchens,321,
322,Barack Obama,322,
323,Louis Farrakhan,323,
324,Barack Obama,324,
325,Barack Obama,325,
326,Robert Kardashian,326,
327,Barack Obama,327,
328,Ronald Reagan,328,
329,John Cleese,329,
330,Bernie Sanders,330,
331,Barack Obama,331,
332,Malcolm X,332,
333,FDR,333,
334,Barack Obama,334,
335,Bill Burr,335,
336,Robert Kardashian,336,
337,Bernie Sanders,337,
338,Ronald Reagan,338,
339,Ronald Reagan,339,
340,Ronald Reagan,340,
341,Bill Clinton,341,
342,Frank Sinatra,342,
343,Alec Guinness,343,
344,Kamala Harris,344,
345,Mark Zuckerberg,345,
346,Richard Nixon,346,
347,George W. Bush,347,
348,Donald Trump,348,
349,Alec Guinness,349,
350,Winston Churchill,350,
351,Bill Clinton,351,
352,Barack Obama,352,
353,Orson Welles,353,
354,Martin Luther King,354,
355,Bill Clinton,355,
356,Ronald Reagan,356,
357,Ronald Reagan,357,
358,Ayn Rand,358,
359,Louis Farrakhan,359,
360,Barack Obama,360,
361,Bill Clinton,361,
362,Bill Clinton,362,
363,Barack Obama,363,
364,Alexandria Ocasio-Cortez,364,
365,Barack Obama,365,
366,Bill Clinton,366,
367,Winston Churchill,367,
368,Arnold Schwarzenegger,368,
369,Barack Obama,369,
370,Christopher Hitchens,370,
371,Louis Farrakhan,371,
372,Alec Guinness,372,
373,Ayn Rand,373,
374,Christopher Hitchens,374,
375,Alec Guinness,375,
376,Alec Guinness,376,
377,Barack Obama,377,
378,Ayn Rand,378,
379,Christopher Hitchens,379,
380,Alec Guinness,380,
381,Barack Obama,381,
382,Arnold Schwarzenegger,382,
383,Ronald Reagan,383,
384,Donald Trump,384,
385,Louis Farrakhan,385,
386,Christopher Hitchens,386,
387,Alec Guinness,387,
388,Barack Obama,388,
389,Richard Nixon,389,
390,Louis Farrakhan,390,
391,Ronald Reagan,391,
392,Donald Trump,392,
393,Alec Guinness,393,
394,Barack Obama,394,
395,Martin Luther King,395,
396,Milton Friedman,396,
397,Mark Zuckerberg,397,
398,Bernie Sanders,398,
399,Alec Guinness,399,
400,Donald Trump,400,
401,Winston Churchill,401,
402,Alan Watts,402,
403,FDR,403,
404,Barack Obama,404,
405,Christopher Hitchens,405,
406,Donald Trump,406,
407,Donald Trump,407,
408,2Pac,408,
409,Bernie Sanders,409,
410,Boris Johnson,410,
411,Donald Trump,411,
412,JFK,412,
413,Donald Trump,413,
414,Dwight Eisenhower,414,
415,Christopher Hitchens,415,
416,Nelson Mandela,416,
417,Robert Kardashian,417,
418,Nick Offerman,418,
419,Barack Obama,419,
420,Barack Obama,420,
421,Bernie Sanders,421,
422,Bernie Sanders,422,
423,Louis Farrakhan,423,
424,Bernie Sanders,424,
425,George Carlin,425,
426,Dwight Eisenhower,426,
427,Mark Zuckerberg,427,
428,Barack Obama,428,
429,Bernie Sanders,429,
430,Alec Guinness,430,
431,Donald Trump,431,
432,Alan Watts,432,
433,Bob Ross,433,
434,Donald Trump,434,
435,JFK,435,
436,Mark Zuckerberg,436,
437,Boris Johnson,437,
438,Donald Trump,438,
439,Tucker Carlson,439,
440,Donald Trump,440,
441,Bernie Sanders,441,
442,Gilbert Gottfried,442,
443,Arnold Schwarzenegger,443,
444,Nelson Mandela,444,
445,Mark Zuckerberg,445,
446,Bernie Sanders,446,
447,Bernie Sanders,447,
448,Barack Obama,448,
449,Ayn Rand,449,
450,Ayn Rand,450,
451,Winston Churchill,451,
452,Bernie Sanders,452,
453,Donald Trump,453,
454,Ronald Reagan,454,
455,Robert Kardashian,455,
456,Donald Trump,456,
457,Ronald Reagan,457,
458,Christopher Hitchens,458,
459,Bernie Sanders,459,
460,Martin Luther King,460,
461,Alec Guinness,461,
462,Ayn Rand,462,
463,Ronald Reagan,463,
464,Bernie Sanders,464,
465,Barack Obama,465,
466,Alec Guinness,466,
467,Donald Trump,467,
468,Donald Trump,468,
469,Barack Obama,469,
470,Barack Obama,470,
471,Milton Friedman,471,
472,Alec Guinness,472,
473,Barack Obama,473,
474,Donald Trump,474,
475,Christopher Hitchens,475,
476,Donald Trump,476,
477,Alec Guinness,477,
478,Donald Trump,478,
479,Bernie Sanders,479,
480,Donald Trump,480,
481,Alec Guinness,481,
482,Donald Trump,482,
483,Barack Obama,483,
484,Alec Guinness,484,
485,Bill Clinton,485,
486,Ayn Rand,486,
487,Alec Guinness,487,
488,Alec Guinness,488,
489,Gilbert Gottfried,489,
490,Gilbert Gottfried,490,
491,Norm MacDonald,491,
492,Ronald Reagan,492,
493,Milton Friedman,493,
494,Richard Nixon,494,
495,Bernie Sanders,495,
496,FDR,496,
497,Alec Guinness,497,
498,Bernie Sanders,498,
499,Donald Trump,499,
500,Christopher Hitchens,500,
501,Christopher Hitchens,501,
502,Alec Guinness,502,
503,Bernie Sanders,503,
504,Christopher Hitchens,504,
505,Milton Friedman,505,
506,Bernie Sanders,506,
507,Arnold Schwarzenegger,507,
508,Barack Obama,508,
509,Gilbert Gottfried,509,
510,Alan Watts,510,
511,Bill Burr,511,
512,Louis C.K.,512,
513,FDR,513,
514,Richard Nixon,514,
515,Bill Clinton,515,
516,JFK,516,
517,Donald Trump,517,
518,Milton Friedman,518,
519,Alec Guinness,519,
520,Barack Obama,520,
521,Barack Obama,521,
522,Alec Guinness,522,
523,Louis Farrakhan,523,
524,Barack Obama,524,
525,Mark Zuckerberg,525,
526,The Notorious B.I.G.,526,
527,FDR,527,
528,Alan Watts,528,
529,Alec Guinness,529,
530,Barack Obama,530,
531,Ronald Reagan,531,
532,John Cleese,532,
533,Donald Trump,533,
534,Barack Obama,534,
535,The Notorious B.I.G.,535,
536,Winston Churchill,536,
537,JFK,537,
538,The Notorious B.I.G.,538,
539,Bernie Sanders,539,
540,Ayn Rand,540,
541,Ayn Rand,541,
542,Louis Farrakhan,542,
543,Winston Churchill,543,
544,Alec Guinness,544,
545,Milton Friedman,545,
546,Bernie Sanders,546,
547,FDR,547,
548,Bernie Sanders,548,
549,JFK,549,
550,Mark Zuckerberg,550,
551,Donald Trump,551,
552,Alexandria Ocasio-Cortez,552,
553,Donald Trump,553,
554,Winston Churchill,554,
555,Donald Trump,555,
556,Donald Trump,556,
557,Barack Obama,557,
558,Alec Guinness,558,
559,Ayn Rand,559,
560,Malcolm X,560,
561,Alec Guinness,561,
562,Alec Guinness,562,
563,Bill Clinton,563,
564,Mark Zuckerberg,564,
565,Queen Elizabeth II,565,
566,Alec Guinness,566,
567,Richard Nixon,567,
568,Adam Driver,568,
569,Bernie Sanders,569,
570,The Notorious B.I.G.,570,
571,Christopher Hitchens,571,
572,The Notorious B.I.G.,572,
573,Christopher Hitchens,573,
574,Alec Guinness,574,
575,2Pac,575,
576,Bernie Sanders,576,
577,Christopher Hitchens,577,
578,Ayn Rand,578,
579,Alec Guinness,579,
580,Alec Guinness,580,
581,JFK,581,
582,Donald Trump,582,
583,Christopher Hitchens,583,
584,Christopher Hitchens,584,
585,Christopher Hitchens,585,
586,Robert Kardashian,586,
587,Barack Obama,587,
588,Christopher Hitchens,588,
589,Barack Obama,589,
590,Alexandria Ocasio-Cortez,590,
591,Bernie Sanders,591,
592,Bernie Sanders,592,
593,Christopher Hitchens,593,
594,Bernie Sanders,594,
595,Winston Churchill,595,
596,Donald Trump,596,
597,Christopher Hitchens,597,
598,Winston Churchill,598,
599,Barack Obama,599,
600,Martin Luther King,600,
601,Bernie Sanders,601,
602,Donald Trump,602,
603,Mark Zuckerberg,603,
604,Bill Clinton,604,
605,Donald Trump,605,
606,Alec Guinness,606,
607,Donald Trump,607,
608,Lyndon Johnson,608,
609,Martin Luther King,609,
610,Bernie Sanders,610,
611,Bernie Sanders,611,
612,Ronald Reagan,612,
613,Bernie Sanders,613,
614,Alec Guinness,614,
615,Ayn Rand,615,
616,Mark Zuckerberg,616,
617,Ronald Reagan,617,
618,Martin Luther King,618,
619,Arnold Schwarzenegger,619,
620,Alec Guinness,620,
621,Mark Zuckerberg,621,
622,Barack Obama,622,
623,Bill Clinton,623,
624,Mark Zuckerberg,624,
625,Ronald Reagan,625,
626,Barack Obama,626,
627,Mark Zuckerberg,627,
628,Bill Clinton,628,
629,George Carlin,629,
630,Martin Luther King,630,
631,Alec Guinness,631,
632,Winston Churchill,632,
633,Ayn Rand,633,
634,Bernie Sanders,634,
635,Barack Obama,635,
636,Donald Trump,636,
637,Queen Elizabeth II,637,
638,Donald Trump,638,
639,Martin Luther King,639,
640,Barack Obama,640,
641,Martin Luther King,641,
642,Alec Guinness,642,
643,Donald Trump,643,
644,Bernie Sanders,644,
645,Donald Trump,645,
646,Bill Burr,646,
647,Ronald Reagan,647,
648,Milton Friedman,648,
649,Donald Trump,649,
650,Nick Offerman,650,
651,Bernie Sanders,651,
652,Bill Clinton,652,
653,George Carlin,653,
654,Alec Guinness,654,
655,Alan Watts,655,
656,Richard Nixon,656,
657,Bill Clinton,657,
658,Donald Trump,658,
659,Christopher Hitchens,659,
660,Bill Clinton,660,
661,Christopher Hitchens,661,
662,Bill Clinton,662,
663,Donald Trump,663,
664,Ayn Rand,664,
665,Christopher Hitchens,665,
666,Barack Obama,666,
667,Donald Trump,667,
668,Barack Obama,668,
669,Barack Obama,669,
670,Christopher Hitchens,670,
671,Robert Kardashian,671,
672,Barack Obama,672,
673,Barack Obama,673,
674,Alec Guinness,674,
675,Alec Guinness,675,
676,Barack Obama,676,
677,Richard Nixon,677,
678,Mark Zuckerberg,678,
679,Barack Obama,679,
680,Bill Clinton,680,
681,Bill Clinton,681,
682,George W. Bush,682,
683,Bill Clinton,683,
684,Alexandria Ocasio-Cortez,684,
685,Bernie Sanders,685,
686,Arnold Schwarzenegger,686,
687,2Pac,687,
688,Norm MacDonald,688,
689,Dwight Eisenhower,689,
690,Alec Guinness,690,
691,Louis Farrakhan,691,
692,Louis Farrakhan,692,
693,Bernie Sanders,693,
694,Donald Trump,694,
695,FDR,695,
696,Ronald Reagan,696,
697,Donald Trump,697,
698,Barack Obama,698,
699,Barack Obama,699,
700,Mr. Rogers,700,
701,Barack Obama,701,
702,Bernie Sanders,702,
703,Bill Burr,703,
704,Alec Guinness,704,
705,Louis Farrakhan,705,
706,Mark Zuckerberg,706,
707,Alec Guinness,707,
708,Ayn Rand,708,
709,Ayn Rand,709,
710,Bernie Sanders,710,
711,Barack Obama,711,
712,George W. Bush,712,
713,JFK,713,
714,Donald Trump,714,
715,Bernie Sanders,715,
716,Alec Guinness,716,
717,Mark Zuckerberg,717,
718,Bernie Sanders,718,
719,Barack Obama,719,
720,Mark Zuckerberg,720,
721,Barack Obama,721,
722,Ronald Reagan,722,
723,Arnold Schwarzenegger,723,
724,Ayn Rand,724,
725,Boris Johnson,725,
726,Ayn Rand,726,
727,JFK,727,
728,Jerry Seinfeld,728,
729,Billie Eilish,729,
730,JFK,730,
731,Alec Guinness,731,
732,Mark Zuckerberg,732,
733,Barack Obama,733,
734,Barack Obama,734,
735,Ayn Rand,735,
736,Bernie Sanders,736,
737,Bill Clinton,737,
738,Louis Farrakhan,738,
739,Winston Churchill,739,
740,Donald Trump,740,
741,Alec Guinness,741,
742,Robert Kardashian,742,
743,George Carlin,743,
744,Martin Luther King,744,
745,Bernie Sanders,745,
746,Barack Obama,746,
747,Donald Trump,747,
748,Ayn Rand,748,
749,Bernie Sanders,749,
750,Louis Farrakhan,750,
751,Ayn Rand,751,
752,Martin Luther King,752,
753,Queen Elizabeth II,753,
754,Barack Obama,754,
755,Christopher Hitchens,755,
756,Bernie Sanders,756,
757,Ronald Reagan,757,
758,Barack Obama,758,
759,Louis Farrakhan,759,
760,Barack Obama,760,
761,Donald Trump,761,
762,Alan Watts,762,
763,Norm MacDonald,763,
764,Alec Guinness,764,
765,Alec Guinness,765,
766,Ronald Reagan,766,
767,Donald Trump,767,
768,Ronald Reagan,768,
769,Queen Elizabeth II,769,
770,Christopher Hitchens,770,
771,Donald Trump,771,
772,Donald Trump,772,
773,Bill Burr,773,
774,Barack Obama,774,
775,Barack Obama,775,
776,Barack Obama,776,
777,Malcolm X,777,
778,Boris Johnson,778,
779,Donald Trump,779,
780,Jeff Goldblum,780,
781,Milton Friedman,781,
782,Harry Truman,782,
783,Alec Guinness,783,
784,Mark Zuckerberg,784,
785,Arnold Schwarzenegger,785,
786,Alec Guinness,786,
787,Ayn Rand,787,
788,George Carlin,788,
789,Ayn Rand,789,
790,Alec Guinness,790,
791,Arnold Schwarzenegger,791,
792,Ayn Rand,792,
793,Lyndon Johnson,793,
794,Bill Clinton,794,
795,Bill Burr,795,
796,Ayn Rand,796,
797,Scarlett Johansson,797,
798,Ayn Rand,798,
799,Bernie Sanders,799,
800,Ronald Reagan,800,
801,JFK,801,
802,Ayn Rand,802,
803,Winston Churchill,803,
804,Barack Obama,804,
805,Bill Clinton,805,
806,Ronald Reagan,806,
807,Bernie Sanders,807,
808,Christopher Hitchens,808,
809,Nelson Mandela,809,
810,Barack Obama,810,
811,Kanye West,811,
812,Bernie Sanders,812,
813,Barack Obama,813,
814,Donald Trump,814,
815,Winston Churchill,815,
816,Bernie Sanders,816,
817,Louis Farrakhan,817,
818,Alec Guinness,818,
819,Barack Obama,819,
820,Barack Obama,820,
821,Alec Guinness,821,
822,Ayn Rand,822,
823,Donald Trump,823,
824,Barack Obama,824,
825,Arnold Schwarzenegger,825,
826,Mark Zuckerberg,826,
827,Nelson Mandela,827,
828,Bill Clinton,828,
829,Donald Trump,829,
830,Barack Obama,830,
831,Nick Offerman,831,
832,Donald Trump,832,
833,Christopher Hitchens,833,
834,Alec Guinness,834,
835,Bernie Sanders,835,
836,Ronald Reagan,836,
837,Bernie Sanders,837,
838,Barack Obama,838,
839,George W. Bush,839,
840,Christopher Hitchens,840,
841,Alec Guinness,841,
842,Bernie Sanders,842,
843,Alexandria Ocasio-Cortez,843,
844,JFK,844,
845,Donald Trump,845,
846,Ayn Rand,846,
847,Donald Trump,847,
848,Alec Guinness,848,
849,Richard Nixon,849,
850,Winston Churchill,850,
851,Winston Churchill,851,
852,Orson Welles,852,
853,Richard Nixon,853,
854,Donald Trump,854,
855,FDR,855,
856,Ronald Reagan,856,
857,Barack Obama,857,
858,Jimmy Carter,858,
859,Donald Trump,859,
860,Barack Obama,860,
861,Donald Trump,861,
862,Donald Trump,862,
863,Ayn Rand,863,
864,Ayn Rand,864,
865,Ayn Rand,865,
866,Bernie Sanders,866,
867,JFK,867,
868,Bill Clinton,868,
869,Alec Guinness,869,
870,Milton Friedman,870,
871,Bill Clinton,871,
872,Mark Zuckerberg,872,
873,JFK,873,
874,Milton Friedman,874,
875,Alec Guinness,875,
876,FDR,876,
877,Ayn Rand,877,
878,Donald Trump,878,
879,Martin Luther King,879,
880,Alec Guinness,880,
881,Bernie Sanders,881,
882,Bernie Sanders,882,
883,Bernie Sanders,883,
884,Jerry Seinfeld,884,
885,Louis Farrakhan,885,
886,Donald Trump,886,
887,Donald Trump,887,
888,Bill Clinton,888,
889,Adam Driver,889,
890,Barack Obama,890,
891,Mark Zuckerberg,891,
892,Alec Guinness,892,
893,Martin Luther King,893,
894,Donald Trump,894,
895,Bill Clinton,895,
896,Milton Friedman,896,
897,Alec Guinness,897,
898,Barack Obama,898,
899,Donald Trump,899,
900,Christopher Hitchens,900,
901,Bernie Sanders,901,
902,Ronald Reagan,902,
903,FDR,903,
904,Mr. Rogers,904,
905,Gilbert Gottfried,905,
906,Donald Trump,906,
907,Queen Elizabeth II,907,
908,Alec Guinness,908,
909,Winston Churchill,909,
910,Bernie Sanders,910,
911,JFK,911,
912,Ayn Rand,912,
913,Christopher Hitchens,913,
914,Bill Clinton,914,
915,Barack Obama,915,
916,Milton Friedman,916,
917,Ayn Rand,917,
918,Bill Clinton,918,
919,Donald Trump,919,
920,Donald Trump,920,
921,Barack Obama,921,
922,Nick Offerman,922,
923,Martin Luther King,923,
924,Alec Guinness,924,
925,Christopher Hitchens,925,
926,Barack Obama,926,
927,Alec Guinness,927,
928,Bill Clinton,928,
929,Bernie Sanders,929,
930,Barack Obama,930,
931,Donald Trump,931,
932,Bill Clinton,932,
933,Ayn Rand,933,
934,JFK,934,
935,Ronald Reagan,935,
936,Donald Trump,936,
937,FDR,937,
938,FDR,938,
939,Bill Clinton,939,
940,Christopher Hitchens,940,
941,George Carlin,941,
942,Mark Zuckerberg,942,
943,Orson Welles,943,
944,Ayn Rand,944,
945,Bernie Sanders,945,
946,Bill Clinton,946,
947,Donald Trump,947,
948,FDR,948,
949,Bernie Sanders,949,
950,Alec Guinness,950,
951,Boris Johnson,951,
952,Alec Guinness,952,
953,JFK,953,
954,Bill Clinton,954,
955,Winston Churchill,955,
956,Donald Trump,956,
957,Bill Clinton,957,
958,Donald Trump,958,
959,Bernie Sanders,959,
960,Barack Obama,960,
961,Barack Obama,961,
962,Donald Trump,962,
963,Ronald Reagan,963,
964,Alec Guinness,964,
965,Barack Obama,965,
966,Barack Obama,966,
967,Winston Churchill,967,
968,Kanye West,968,
969,JFK,969,
970,Alec Guinness,970,
971,Christopher Hitchens,971,
972,Alan Watts,972,
973,Barack Obama,973,
974,Arnold Schwarzenegger,974,
975,Barack Obama,975,
976,Winston Churchill,976,
977,Alec Guinness,977,
978,Mr. Rogers,978,
979,Ayn Rand,979,
980,Ayn Rand,980,
981,Nelson Mandela,981,
982,Ronald Reagan,982,
983,Ronald Reagan,983,
984,George Carlin,984,
985,Alec Guinness,985,
986,Donald Trump,986,
987,Ayn Rand,987,
988,JFK,988,
989,Milton Friedman,989,
990,Barack Obama,990,
991,Bill Clinton,991,
992,Barack Obama,992,
993,JFK,993,
994,Alec Guinness,994,
995,Jeff Goldblum,995,
996,Queen Elizabeth II,996,
997,Barack Obama,997,
998,Richard Nixon,998,
999,Mr. Rogers,999,
1000,Barack Obama,1000,
1001,Donald Trump,1001,
1002,Adam Driver,1002,
1003,Bill Burr,1003,
1004,Bernie Sanders,1004,
1005,Donald Trump,1005,
1006,Ayn Rand,1006,
1007,Donald Trump,1007,
1008,2Pac,1008,
1009,Arnold Schwarzenegger,1009,
1010,Ronald Reagan,1010,
1011,George Carlin,1011,
1012,Bernie Sanders,1012,
1013,Christopher Hitchens,1013,
1014,Martin Luther King,1014,
1015,Alec Guinness,1015,
1016,Bernie Sanders,1016,
1017,Ayn Rand,1017,
1018,Louis Farrakhan,1018,
1019,Barack Obama,1019,
1020,Kanye West,1020,
1021,Gilbert Gottfried,1021,
1022,FDR,1022,
1023,Alec Guinness,1023,
1024,Barack Obama,1024,
1025,Ayn Rand,1025,
1026,JFK,1026,
1027,Donald Trump,1027,
1028,Tucker Carlson,1028,
1029,Donald Trump,1029,
1030,Adam Driver,1030,
1031,JFK,1031,
1032,Ronald Reagan,1032,
1033,Ayn Rand,1033,
1034,Mark Zuckerberg,1034,
1035,Ronald Reagan,1035,
1036,Donald Trump,1036,
1037,Louis Farrakhan,1037,
1038,Alec Guinness,1038,
1039,Barack Obama,1039,
1040,Louis Farrakhan,1040,
1041,Ayn Rand,1041,
1042,Alexandria Ocasio-Cortez,1042,
1043,Bill Clinton,1043,
1044,Tucker Carlson,1044,
1045,Donald Trump,1045,
1046,Donald Trump,1046,
1047,Milton Friedman,1047,
1048,The Notorious B.I.G.,1048,
1049,Barack Obama,1049,
1050,Barack Obama,1050,
1051,Alec Guinness,1051,
